ADRESA;MESTO;x;y;FIRMA;NAZEV;SUMVYMERU;SUMOBZSJ01;COUNT
Nádraní 2442, Pelhøimov;Pelhøimov;15.223975800000000;49.425134999999997;Penny Market, s.r.o.;Penny Market;19336.4323000000000000;11452;48
Pøímìtická 3658/66, Znojmo;Znojmo;16.043754400000001;48.866715399999997;Lidl Èeská republika, v.o.s.;;213.3617999999999900;2633;4
Luèní 126, Semily;Semily;15.329385900000000;50.602705999999998;Penny Market, s.r.o.;;1419.2468999999999000;5086;9
Pøed Tratí 891/2, Havíøov;Havíøov;18.442403500000001;49.787481300000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Havíøov;1183.9850000000001000;10488;10
Vinohradská 1200/50, Praha 2;Praha;14.442348000000001;50.076880600000003;AHOLD Czech Republic, a. s.;;87.6528999999999880;15376;5
Dornych 404/4, Brno;Brno;16.612933900000002;49.189514899999999;Tesco Stores ÈR, a.s.;OD Tesco Brno;;;
Vejprnická 1157/32, Plzeò;Plzeò;13.340168800000001;49.744228000000000;Lidl Èeská republika, v.o.s.;;336.4001999999999800;3274;4
Okruní 4262/10, Prostìjov;Prostìjov;17.117873299999999;49.462429999999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Prostìjov;7350.3875999999991000;7058;19
Sokolovská 69/14, Praha;Praha;14.440054000000000;50.091153499999997;Billa, s.r.o.;;27.4677000000000010;85;3
Brnìnská 2937/21, Znojmo;Znojmo;16.066010800000001;48.846169200000013;AHOLD Czech Republic, a. s.;;12591.5244999999980000;12127;21
U plynárny 1432/64, Praha;Praha;14.466480600000001;50.056731600000013;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha 4-Michle;228.1166000000000300;6921;10
Skandinávská 144/25, Praha;Praha;14.295458600000000;50.049542199999998;Tesco Stores ÈR, a.s.;Extra Praha Zlièín;731.9920000000001900;633;10
Koterovská 2390/47, Plzeò;Plzeò;13.392454799999999;49.739521799999999;AHOLD Czech Republic, a. s.;;84.9145000000000040;8806;2
Tovární 112, Èeskı Krumlov;Èeskı Krumlov;14.334539299999999;48.834929199999998;Lidl Èeská republika, v.o.s.;;18448.4788999999980000;7138;51
Kleinerova 112, Kladno;Kladno;14.096906499999999;50.144252100000003;Billa, s.r.o.;;47.2520999999999990;1957;1
Pionırù 2025, Sokolov;Sokolov;12.649066100000001;50.182517300000001;Billa, s.r.o.;;5639.5633000000007000;9558;17
Hnìvkovského 700/65b, Brno;Brno;16.625557900000000;49.171645099999999;Lidl Èeská republika, v.o.s.;;306.3221999999999500;5422;7
Krnovská 1926/5, Bruntál;Bruntál;17.472420400000001;49.995489700000000;Penny Market, s.r.o.;;16505.3447000000010000;10852;19
Strakonická 1272, Èeské Budìjovice;Èeské Budìjovice;14.468662399999999;48.993694099999999;AHOLD Czech Republic, a. s.;;2202.4637000000002000;4736;9
Èeskobrodská 733, Praha 9;Praha;14.563785299999999;50.086803799999998;AHOLD Czech Republic, a. s.;;370.4613999999999700;2757;8
Sportovní 1699, Pøelouè;Pøelouè;15.564885400000000;50.041231600000003;Tesco Stores ÈR, a.s.;Hypermarket Tesco;9772.9069000000000000;8816;27
Dornych 451/39, Brno;Brno;16.620784100000002;49.186843900000000;Lidl Èeská republika, v.o.s.;;31.3652000000000020;1224;2
Hradební 5440/1, Jihlava;Jihlava;15.587745600000000;49.393388100000003;AHOLD Czech Republic, a. s.;INTERSPAR Jihlava;213.8775000000000000;4281;2
Praská 1120/25, Letovice;Letovice;16.572059899999999;49.556250899999988;Penny Market, s.r.o.;;18353.4215999999980000;12625;73
Jièínská 1369, Mladá Boleslav;Mladá Boleslav;14.933614400000000;50.411914799999998;Lidl Èeská republika, v.o.s.;;;;
Nová 1016, Horní Slavkov;Horní Slavkov;12.796823800000000;50.135574899999988;Tesco Stores ÈR, a.s.;Supermarket Tesco Horní Slavkov;17533.6527000000020000;8778;37
Za Olšávkou 399, Uherské Hradištì;Uherské Hradištì;17.467876700000001;49.054903299999999;Penny Market, s.r.o.;;120.4743000000000000;1171;1
Generála Klapálka 798, Vsetín;Vsetín;18.001107900000001;49.327683600000000;Lidl Èeská republika, v.o.s.;;6855.1867000000002000;7478;13
Zámecká 1167, Lovosice;Lovosice;14.052783600000000;50.515727899999987;Penny Market, s.r.o.;;2276.8903999999998000;4273;9
Nákupní 389/1, Praha;Praha;14.542169100000001;50.072592999999998;AHOLD Czech Republic, a. s.;;652.1393000000000500;1195;12
Labská 1500, Èeské Budìjovice;Èeské Budìjovice;14.453532300000001;48.996198399999997;Lidl Èeská republika, v.o.s.;;1183.0241999999998000;12601;3
Cimburkova 540/4, Brno;Brno;16.609363299999998;49.218106700000000;Tesco Stores ÈR, a.s.;Hypermarket Tesco Brno Královo Pole;294.8743999999999800;4379;10
Ústecká 1905/8, Dìèín;Dìèín;14.205473100000001;50.770269300000002;Tesco Stores ÈR, a.s.;Hypermarket Dìèín;1764.4921999999997000;1706;11
Èervené Vršky 2217, Benešov;Benešov;14.682833400000000;49.793814800000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Benešov;1130.0230000000001000;446;6
Domoradická 299, Èeskı Krumlov;Èeskı Krumlov;14.334708300000001;48.823736500000003;Tesco Stores ÈR, a.s.;Hypermarket Tesco Èeskı Krumlov;4813.2124999999987000;1119;15
Nádraní 1797, Tišnov;Tišnov;16.421612199999998;49.344924200000001;Penny Market, s.r.o.;;6444.9216999999999000;9998;16
Vladycká 1532/2, Praha;Praha;14.526680000000001;50.053593399999997;Lidl Èeská republika, v.o.s.;;453.2098999999999500;4396;5
Hradecká 1141, Jièín;Jièín;15.369148600000001;50.435440300000003;Tesco Stores ÈR, a.s.;Hypermarket Jièín;7469.3226000000013000;5602;27
Nad lesním divadlem 99, Praha;Praha;14.442008299999999;50.024778599999998;Penny Market, s.r.o.;;61.1269999999999950;5489;2
Lodská 850/6, Praha;Praha;14.417586200000001;50.127656899999998;Billa, s.r.o.;;;;
T. G. Masaryka 2023/10, Karlovy Vary;Karlovy Vary;12.872255600000001;50.229521299999988;Billa, s.r.o.;;3555.9827000000000000;5318;10
Obchodní 250, Beroun;Beroun;14.060522700000000;49.956589800000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Beroun;2336.2511999999997000;1031;9
tø. Kosmonautù 113/27, Olomouc;Olomouc;17.274109400000000;49.591786800000001;AHOLD Czech Republic, a. s.;;460.0078999999999500;13031;7
Voctáøova 2401/8, Praha;Praha;14.468345500000000;50.102053299999987;Kaufland Èeská republika, v.o.s.;OD Kaufland Praha - Palmovka;118.3342000000000000;208;3
Pekárenská 2783/39, Èeské Budìjovice;Èeské Budìjovice;14.480858100000001;48.982771100000001;Billa, s.r.o.;;387.9778000000000000;7526;5
tø. 17. listopadu 873/6, Karviná;Karviná;18.554507399999999;49.844642899999997;Lidl Èeská republika, v.o.s.;;3399.3040000000005000;14763;12
Zhoøelecká 514, Praha 8;Praha;14.409934300000000;50.131390099999997;AHOLD Czech Republic, a. s.;;341.6872000000000200;9229;8
Fügnerova 2387/2a, Blansko;Blansko;16.645724999999999;49.356524800000003;Penny Market, s.r.o.;;30.9713999999999990;198;1
Mostecká, Chomutov;Chomutov;13.424764500000000;50.467333300000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Chomutov - Centrum;1818.5498000000000000;6409;7
Hvìzdná 57, Jindøichùv Hradec;Jindøichùv Hradec;15.001998900000000;49.131321000000000;Penny Market, s.r.o.;;23552.1554999999970000;10337;46
U Tøí mostù 844/2, Svitavy;Svitavy;16.476998600000002;49.754071499999988;AHOLD Czech Republic, a. s.;;3599.7672000000002000;3937;5
Modøínová 694, Tøebíè;Tøebíè;15.892716699999999;49.218728800000001;AHOLD Czech Republic, a. s.;;27.1821000000000020;0;4
Národní 63/26, Praha;Praha;14.419482900000000;50.082309000000002;Tesco Stores ÈR, a.s.;Obchodní dùm MY Národní;;;
arošická 4355/11, Brno;Brno;16.662881100000000;49.210964399999988;Penny Market, s.r.o.;;2053.7511000000000000;4824;8
Horní 2233/6, ïár nad Sázavou;ïár nad Sázavou;15.944557800000000;49.560406800000003;AHOLD Czech Republic, a. s.;;67.3482999999999950;6817;2
Masarykovo nám. 257/16, Hodonín;Hodonín;17.128982400000002;48.849836099999997;AHOLD Czech Republic, a. s.;;160.5508000000000100;9832;2
Sokolovská 1019/148, Karlovy Vary;Karlovy Vary;12.841365500000000;50.233382300000002;Kaufland Èeská republika, v.o.s.;OD Kaufland Karlovy Vary;;;
J. Palacha 3197, Bøeclav;Bøeclav;16.888201899999999;48.756480400000001;AHOLD Czech Republic, a. s.;;782.9609000000000400;12332;13
Matúškova 831/1, Praha;Praha;14.515422500000000;50.037354299999997;Penny Market, s.r.o.;Penny Market;;;
Šluknovská 3080, Èeská Lípa;Èeská Lípa;14.540647699999999;50.701933399999987;AHOLD Czech Republic, a. s.;;945.3250000000000500;8645;7
Znojemská 1382, Tøebíè;Tøebíè;15.884945999999999;49.203597899999998;Lidl Èeská republika, v.o.s.;;121.1725000000000000;4028;1
Èechova 929/26, Pøerov;Pøerov;17.455455000000001;49.450370300000003;Tesco Stores ÈR, a.s.;Supermarket Pøerov;15.8199000000000010;1684;1
Havlíèkova 1395, Mladá Boleslav;Mladá Boleslav;14.912330900000001;50.428315200000000;Penny Market, s.r.o.;Penny Market;19.3801999999999990;62;1
Gen. Klapálka 300, Vsetín;Vsetín;18.004449699999999;49.332464700000003;AHOLD Czech Republic, a. s.;;40.5061000000000040;4068;1
Jasenická 311, Vsetín;Vsetín;18.006198699999999;49.332110499999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Vsetín;11210.4673999999980000;10934;30
Štemberkova 1698, Rychnov nad Knìnou;Rychnov nad Knìnou;16.276267699999998;50.155846500000003;Tesco Stores ÈR, a.s.;Hypermarket Tesco Rychnov nad Knìnou;218.7606000000000100;305;2
Plzeòská 1070, Tøemošná;Tøemošná;13.391989000000001;49.808920600000000;Penny Market, s.r.o.;Penny Market;887.0684000000000000;2363;2
Velebudická 3303/1a, Most;Most;13.653823700000000;50.490947899999988;Lidl Èeská republika, v.o.s.;;;;
ukovského 888/2, Praha;Praha;14.309258700000001;50.090721500000001;Billa, s.r.o.;;726.5982000000000200;10193;11
Olomoucká 4619/120, Prostìjov;Prostìjov;17.123238700000002;49.484377299999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Prostìjov II - Olomoucká;4063.8449999999998000;5465;8
Okruní 4701, Zlín;Zlín;17.659636200000001;49.233122299999998;AHOLD Czech Republic, a. s.;;1900.9379000000001000;9573;4
Praská 2494/15, Cheb;Cheb;12.379042399999999;50.082045399999998;Tesco Stores ÈR, a.s.;Hypermarket Tesco Cheb;3104.4804999999997000;3264;16
Vodárenská 3653, Mìlník;Mìlník;14.484048400000001;50.354285099999998;Tesco Stores ÈR, a.s.;Hypermarket Mìlník;3125.4155000000001000;3743;10
Havlíèkova 4821/13, Jihlava;Jihlava;15.587654199999999;49.401006600000002;Billa, s.r.o.;;71.9232999999999980;2929;2
Tø. Maršála Malinovského 436, Uherské Hradištì;Uherské Hradištì;17.464604200000000;49.058178200000000;Lidl Èeská republika, v.o.s.;;52.1175000000000000;62;3
Hlavní 2459/108, Praha 4;Praha;14.487145600000000;50.046763599999998;AHOLD Czech Republic, a. s.;;177.1902000000000000;14363;6
ul. Vrahovická, Prostìjov;Prostìjov;17.134799099999999;49.476670800000001;AHOLD Czech Republic, a. s.;;2573.7115000000003000;2319;7
Tìšínská 2914/44, Opava;Opava;17.917814100000001;49.931914399999997;Tesco Stores ÈR, a.s.;Hypermarket Opava;4339.9490000000005000;13110;13
Nad øekou 618, dírec nad Doubravou;dírec nad Doubravou;15.809980400000001;49.692310900000003;AHOLD Czech Republic, a. s.;;24500.3482999999940000;14152;58
Vojtíškova 1783/2, Praha;Praha;14.492635900000000;50.025458499999999;Lidl Èeská republika, v.o.s.;;81.2454000000000040;8548;2
Palackého tøída 2748, Pardubice;Pardubice;15.752780899999999;50.034218699999997;AHOLD Czech Republic, a. s.;;0.9342000000000000;0;1
Polská 6191/21, Ostrava;Ostrava;18.189576700000000;49.820347800000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Poruba;1436.2221999999999000;11260;7
Nádraní 2855/147, Ostrava;Ostrava;18.277058900000000;49.848953299999998;AHOLD Czech Republic, a. s.;;3132.5511000000001000;15288;16
Hranièní 1257, Bøeclav;Bøeclav;16.869748800000000;48.744017199999988;AHOLD Czech Republic, a. s.;;3739.8918999999996000;3579;2
Spojovací 376, Bílina;Bílina;13.625485700000000;50.511701599999988;Lidl Èeská republika, v.o.s.;;5435.2702000000008000;5163;24
Èeskomoravská 930/22, Praha;Praha;14.499497300000000;50.101858700000001;Lidl Èeská republika, v.o.s.;;78.2250999999999980;877;3
Okruní 3368/7, Ústí nad Labem;Ústí nad Labem;14.020633100000000;50.662912300000002;Kaufland Èeská republika, v.o.s.;OD Kaufland Ústí nad Labem;306.7522000000000200;5793;10
Obvodová 3310/13a, Kromìøí;Kromìøí;17.405444299999999;49.292019600000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Kromìøí;2388.7373000000002000;5436;10
Frimlova 963/1, Karlovy Vary;Karlovy Vary;12.837283400000000;50.238428599999999;Penny Market, s.r.o.;Penny Market;2539.2683000000002000;9604;11
Chodovická 2311/30, Praha 9;Praha;14.617398200000000;50.112123799999999;AHOLD Czech Republic, a. s.;;1318.1153999999999000;7424;13
námìstí Svobody 85/16, Brno;Brno;16.608263999999998;49.194144700000003;AHOLD Czech Republic, a. s.;;70.4419999999999930;5309;3
Zahradní 164, Bystøice nad Pernštejnem;Bystøice nad Pernštejnem;16.260434100000001;49.526070500000003;AHOLD Czech Republic, a. s.;;13340.3490000000060000;5907;38
Bìlohorská 228/101, Praha;Praha;14.366712100000001;50.083921599999996;Billa, s.r.o.;;374.7386999999999900;16883;10
Frıdlantská 2197, Frıdek-Místek;Frıdek-Místek;18.348821800000000;49.666754200000000;Lidl Èeská republika, v.o.s.;;1050.0309000000000000;2234;6
Velebudická 3270, Most;Most;13.655522200000000;50.485956199999997;AHOLD Czech Republic, a. s.;;8492.3829999999998000;3349;20
Dukelskıch bojovníkù 3632/156, Znojmo;Znojmo;16.064309800000000;48.837165900000002;Kaufland Èeská republika, v.o.s.;OD Kaufland Znojmo;19785.3149000000010000;12621;23
Ivana Olbrachta 4582/8, Jablonec nad Nisou;Jablonec nad Nisou;15.162793600000001;50.735832599999988;Penny Market, s.r.o.;Penny Market;20.6859000000000000;1841;1
Rytíøská 10, Praha 1;Praha;14.421907900000001;50.084572500000000;AHOLD Czech Republic, a. s.;;;;
Mánesova 2159, Tachov;Tachov;12.634141100000001;49.798770599999997;Billa, s.r.o.;;37.4956000000000030;618;1
Oblouková 1395/4, Dìèín;Dìèín;14.216576600000000;50.774895899999997;Kaufland Èeská republika, v.o.s.;OD Kaufland Dìèín;1061.9848999999999000;7865;10
Jièínská 1368, Mladá Boleslav;Mladá Boleslav;14.931081700000000;50.411375300000003;Penny Market, s.r.o.;Penny Market;3199.6019999999999000;5844;12
Plzeòská 1700/9, Dìèín;Dìèín;14.199099900000000;50.772910199999998;Billa, s.r.o.;;115.1810000000000100;4680;2
Bayerova 792/23, Brno;Brno;16.601186800000001;49.207535900000003;Lidl Èeská republika, v.o.s.;;151.0521000000000000;22356;6
Rybáøská 2903/7, Opava;Opava;17.898048299999999;49.942464999999999;Penny Market, s.r.o.;;368.4829000000000300;6325;5
Ès. armády 3189, Kladno;Kladno;14.088839500000001;50.143386999999997;Billa, s.r.o.;;468.6793000000000100;5882;8
Rudolická 1323, Most;Most;13.656113100000001;50.509285499999997;Penny Market, s.r.o.;;2404.2681000000002000;12107;12
Štúrova 1284/20, Praha 4;Praha;14.451766500000000;50.026333399999999;AHOLD Czech Republic, a. s.;;210.5687000000000100;12234;5
Dvoøákova 4047/8, Hodonín;Hodonín;17.119982400000001;48.852678399999988;Penny Market, s.r.o.;;102.5792999999999900;2606;2
Borská 3215, Èeská Lípa;Èeská Lípa;14.543315399999999;50.698824599999988;AHOLD Czech Republic, a. s.;;372.1469999999999900;1912;3
nám. Osvoboditelù 1372, Praha 5;Praha;14.358044800000000;49.984391500000001;AHOLD Czech Republic, a. s.;;656.4402999999999800;2987;9
Švehlova 3309/11, Praha;Praha;14.515749000000000;50.055523899999997;Penny Market, s.r.o.;Penny Market;111.8330000000000000;3;7
Papírníkova 627/2, Praha 4;Praha;14.454190499999999;50.008959099999998;AHOLD Czech Republic, a. s.;;898.8954999999999700;12626;18
Tyršovo nábøeí 5496, Zlín;Zlín;17.662128599999999;49.229496900000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Zlín-Èepkov;;;
Lidická 3341/137, Bøeclav;Bøeclav;16.901506500000000;48.780272500000002;Tesco Stores ÈR, a.s.;Hypermarket Tesco Bøeclav;24370.2379000000000000;28477;21
Jateèní 465, Teplice;Teplice;13.808501600000000;50.640460999999988;Penny Market, s.r.o.;Penny Market;2287.4953999999993000;10205;19
Anenská 4511/27, Prostìjov;Prostìjov;17.090667600000000;49.469622000000001;Lidl Èeská republika, v.o.s.;;16878.9627999999980000;19551;37
Libušská 400, Praha 4;Praha;14.454327299999999;50.016863000000001;AHOLD Czech Republic, a. s.;;125.0607000000000000;3960;9
Bílı kopeèek 259, Skuteè;Skuteè;15.990650799999999;49.851905000000002;Tesco Stores ÈR, a.s.;Supermarket Tesco Skuteè;30704.6691999999930000;23468;96
Krušnohorská 3371/2, Ústí nad Labem;Ústí nad Labem;14.036683600000000;50.677824999999999;AHOLD Czech Republic, a. s.;;3265.1245000000008000;3318;10
Na poøíèí 1068/23, Praha;Praha;14.433912100000001;50.090315900000000;Lidl Èeská republika, v.o.s.;;53.6893000000000030;4256;3
Rafaelova 1120, Tøebíè;Tøebíè;15.898644600000001;49.221126800000000;Penny Market, s.r.o.;;9201.8434999999990000;9755;21
Karla Havlíèka Borovského 2087, Sokolov;Sokolov;12.674925300000000;50.176644300000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Sokolov;1396.1030999999998000;974;3
Arménská, Kladno;Kladno;14.137643799999999;50.134379699999997;Billa, s.r.o.;;5147.7489999999989000;14827;25
Plzeòská 230, Beroun;Beroun;14.059348000000000;49.957267599999987;Billa, s.r.o.;;505.2094000000000200;2167;2
Husova tøída 241, Domalice;Domalice;12.936760100000001;49.439405600000008;Penny Market, s.r.o.;Penny Market;6156.9934999999996000;4042;21
Americká 2186/47, Plzeò;Plzeò;13.384633900000001;49.744518300000003;Tesco Stores ÈR, a.s.;OD Tesco Plzeò;85.4514000000000070;2968;3
Pøemyslovcù 1/2252, Novı Jièín;Novı Jièín;18.009789500000000;49.599744200000004;AHOLD Czech Republic, a. s.;;1094.6945000000001000;1801;3
U stadionu 1276, Mladá Boleslav;Mladá Boleslav;14.912269500000001;50.424947200000013;Kaufland Èeská republika, v.o.s.;OD Kaufland Mladá Boleslav;55.7667000000000000;4630;2
Sokolovská 394/17, Praha 8;Praha;14.440291800000001;50.091672499999987;AHOLD Czech Republic, a. s.;;19.1968999999999990;31;1
Rokycanská 2656/2, Plzeò;Plzeò;13.400433600000000;49.747147400000003;AHOLD Czech Republic, a. s.;;33.7010000000000010;49;1
Aloise Gavlase 57/1, Ostrava Dubina;Ostrava;18.253512300000001;49.776060800000003;AHOLD Czech Republic, a. s.;;70.9976000000000060;7163;2
Dukelskıch hrdinù 1640, Kladno;Kladno;14.105289900000001;50.146886400000000;Lidl Èeská republika, v.o.s.;;1168.7909999999999000;12119;15
Pøímá 671, Zlín;Zlín;17.640721400000000;49.220487200000008;AHOLD Czech Republic, a. s.;;4624.7019000000009000;3180;9
Teplého 2806, Pardubice;Pardubice;15.761449100000000;50.027482300000003;Penny Market, s.r.o.;;917.4701999999999800;7997;6
Hrdinù odboje 1606, Rychnov nad Knìnou;Rychnov nad Knìnou;16.283412100000000;50.157776800000001;Billa, s.r.o.;;2721.4315999999999000;1749;12
Plovdivská 3426/7, Praha;Praha;14.418421100000000;50.006529499999999;Billa, s.r.o.;supermarket;404.8510999999999700;3841;9
Ing. Fr. Janeèka 546, Tınec nad Sázavou;Tınec nad Sázavou;14.588992299999999;49.832152099999988;Lidl Èeská republika, v.o.s.;;18232.5534000000040000;13123;63
Velenická 72/2, Praha;Praha;14.487037200000000;50.013653400000003;Tesco Stores ÈR, a.s.;Supermarket Kunratice;473.5473000000000100;3552;11
Kaplanova 1803/2c, Kromìøí;Kromìøí;17.404421800000001;49.307037500000000;Penny Market, s.r.o.;;1856.7701000000002000;1328;4
Jateèní 5156/4, Jablonec nad Nisou;Jablonec nad Nisou;15.158617100000001;50.715300300000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Jablonec nad Nisou II.;5200.1583000000001000;8933;27
Trousilova 2/1031, Praha 8;Praha;14.450859100000001;50.126973199999988;AHOLD Czech Republic, a. s.;;219.3315000000000100;10656;6
Skandinávská 128/2, Brno;Brno;16.626835100000001;49.157532000000003;Tesco Stores ÈR, a.s.;Extra Brno Dolní Heršpice;817.6843000000000100;935;5
Bøezinova 4248/62, Jihlava;Jihlava;15.601408500000000;49.402186299999997;AHOLD Czech Republic, a. s.;;80.0253999999999910;1054;2
Nádraní 33, Chrastava;Chrastava;14.963998399999999;50.814326399999999;Penny Market, s.r.o.;Penny Market;12631.0649999999970000;9274;32
nábø. Dr. Beneše 2509, Rakovník;Rakovník;13.741045700000001;50.098885400000007;Billa, s.r.o.;;10668.0510000000010000;6673;27
Vítìzná 2117/21, Karlovy Vary;Karlovy Vary;12.874106500000000;50.234759599999997;Lidl Èeská republika, v.o.s.;;882.6947999999998700;9389;11
Nádraní 1156/9, Šlapanice;Šlapanice;16.726757800000001;49.165775300000000;AHOLD Czech Republic, a. s.;;15853.7010000000030000;26771;31
Josefa Fouska 2643, Louny;Louny;13.806957799999999;50.354375599999997;Penny Market, s.r.o.;Penny Market;1248.1862999999998000;6089;7
Topolová 2915/16, Praha 10;Praha;14.507029200000000;50.057544900000003;AHOLD Czech Republic, a. s.;;75.3416000000000000;9526;2
Brnìnská 1342, Rosice;Rosice;16.403262800000000;49.183733500000002;Lidl Èeská republika, v.o.s.;;4566.5354000000007000;3114;9
Tøeboòská 1002/91, Karlovy Vary;Karlovy Vary;12.848886100000000;50.238938900000001;Tesco Stores ÈR, a.s.;Supermarket Tesco Karlovy Vary;1335.0777000000000000;5612;6
sídl. Vajgar 730, Jindøichùv Hradec;Jindøichùv Hradec;15.016041200000000;49.137612599999997;Billa, s.r.o.;;10264.2273000000000000;8847;22
Vnouèkova 1699, Benešov;Benešov;14.688271100000000;49.783436700000003;Billa, s.r.o.;;4098.3816000000006000;8706;16
Masarova 2428/9, Brno - Líšeò;Brno;16.675674399999998;49.206213299999987;AHOLD Czech Republic, a. s.;;109.0454000000000000;10892;1
Roztylská 2321/9, Praha 4;Praha;14.499368900000000;50.024406999999997;AHOLD Czech Republic, a. s.;;227.1576000000000000;2227;5
Veveøí 287/40, Brno;Brno;16.550384699999999;49.182728900000008;AHOLD Czech Republic, a. s.;;355.8750999999999700;7537;5
Riegrova 1148, Jièín;Jièín;15.355495599999999;50.432049900000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Jièín;25897.6153000000010000;18807;101
Hradecká 2526/3, Praha 3;Praha;14.463390300000000;50.077266799999997;AHOLD Czech Republic, a. s.;;72.8910000000000050;9655;3
Karlštejnská 1054, Èernošice;Èernošice;14.321700900000000;49.959159000000000;Billa, s.r.o.;;4425.7866000000013000;8372;13
Aviatická 1017/2, Praha;Praha;14.267565800000000;50.107726100000001;Billa, s.r.o.;;3525.0060000000003000;3031;15
Plzeòská 229, Beroun;Beroun;14.046084100000000;49.951672299999998;Penny Market, s.r.o.;;1753.3666999999998000;830;5
Prùbìná 2551, Èeské Budìjovice;Èeské Budìjovice;14.468228399999999;48.992170500000000;Penny Market, s.r.o.;;53.5255999999999970;6225;1
Tøída Vítìzství 841, Kunovice;Kunovice;17.467038200000001;49.048481600000002;AHOLD Czech Republic, a. s.;;8896.6971000000012000;15672;10
Okruní 5454, Zlín;Zlín;17.667605200000001;49.236209100000004;Penny Market, s.r.o.;;3302.7206999999999000;13420;7
Zámecká 4, Tachov;Tachov;12.630938300000000;49.796503600000001;AHOLD Czech Republic, a. s.;;31018.1818000000020000;10272;41
Jeremiášova 1239/7a, Praha;Praha;14.314684099999999;50.042751299999999;Billa, s.r.o.;Stodùlky;797.6392000000000700;2856;5
Lorecká 655, Kutná Hora;Kutná Hora;15.270793800000000;49.954439000000001;Billa, s.r.o.;;13151.6723000000020000;12231;63
Korunní 810/104, Praha;Praha;14.456312000000000;50.075339700000008;Billa, s.r.o.;;108.5273000000000000;19923;5
Husova 661/1, Mimoò;Mimoò;14.728773500000001;50.653737799999988;Tesco Stores ÈR, a.s.;Supermarket Tesco Mimoò;6929.5426999999991000;4583;15
Volgogradská 2972, Tábor;Tábor;14.687847400000001;49.393625100000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Tábor;;;
U Fortny 49/10, Opava;Opava;17.900745100000002;49.940921600000003;AHOLD Czech Republic, a. s.;SPAR Opava (supermarket);97.8760000000000050;8368;3
Netroufalky 770, Brno;Brno;16.565912200000000;49.176850199999997;Tesco Stores ÈR, a.s.;Hypermarket Tesco Brno Bohunice;121.8366000000000000;19;3
Kamenice 745/1, Brno;Brno;16.582028200000000;49.173966999999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Brno-Bohunice;119.7582999999999900;261;2
Marie Pomocné 2154/38, Litomìøice;Litomìøice;14.143329200000000;50.533616100000003;Penny Market, s.r.o.;;70.9964999999999970;836;2
Skuteckého 49/3, Praha;Praha;14.310515400000000;50.065313300000000;Billa, s.r.o.;;192.9216000000000100;6407;3
Tyršova 1731/66, Kuøim;Kuøim;16.547163200000000;49.296295299999997;Lidl Èeská republika, v.o.s.;;1074.1262000000002000;2355;3
Dukelská, Opava;Opava;17.888774800000000;49.937162800000003;Lidl Èeská republika, v.o.s.;;75.9438999999999990;3602;2
Èeskobrodská, Praha;Praha;14.567004400000000;50.087415900000003;AHOLD Czech Republic, a. s.;SPAR Jahodnice;72.4993999999999940;0;1
Nádraní 2318/4, Blansko;Blansko;16.649850199999999;49.353251800000002;AHOLD Czech Republic, a. s.;;12305.3005000000010000;17325;27
Tyršova 393, Semily;Semily;15.332549100000000;50.601636499999998;Penny Market, s.r.o.;Penny Market;259.9938000000000200;207;1
Praská 1706, Humpolec;Humpolec;15.346310900000001;49.541761299999997;Penny Market, s.r.o.;Penny Market;9228.8060999999998000;2831;31
Vıchodní 2063, Staré Mìsto;Staré Mìsto;17.456129900000001;49.077281100000008;Lidl Èeská republika, v.o.s.;;1202.2370000000001000;2347;5
Tøída Tomáše Bati 4074, Zlín;Zlín;17.679998800000000;49.225510999999997;AHOLD Czech Republic, a. s.;;319.3935000000000200;10842;6
Makovského 1219/27, Praha 6;Praha;14.301434700000000;50.065386399999987;AHOLD Czech Republic, a. s.;;128.6541000000000000;8391;3
Srbská 2653/51, Brno;Brno;16.585836700000002;49.229162000000002;Billa, s.r.o.;;38.0863999999999980;2336;1
Na ikovì 9731, Liberec;Liberec;15.062569500000000;50.753141999999997;Penny Market, s.r.o.;Penny Market;65.4526000000000040;4133;2
Tovární 332, Cvikov;Cvikov;14.639430100000000;50.772464700000000;Penny Market, s.r.o.;Penny Market;16489.2631999999980000;9154;24
Vøesová 2908/11, Šumperk;Šumperk;16.969089199999999;49.957407400000001;AHOLD Czech Republic, a. s.;;5063.0423000000001000;11136;13
Chebská 370/81a, Karlovy Vary;Karlovy Vary;12.824735600000000;50.226000199999987;Tesco Stores ÈR, a.s.;Hypermarket Karlovy Vary;2444.2277000000004000;5752;9
