X,Y,NAZEV,ULICE_x,OBEC_x,ICOFIR,FIRMA40A
12.191243496161455,50.221280303243915,,Rybniční 2744,Aš,685976,"Billa, s.r.o."
14.365636733459924,49.985364212052239,,Vrážská 1507,Praha,685976,"Billa, s.r.o."
14.428139356240164,49.653631545522721,,Sedlecká 599,Sedlčany,685976,"Billa, s.r.o."
15.197020545632014,50.027581849916523,,náměstí Republiky 43,Kolín,685976,"Billa, s.r.o."
15.308680106338196,50.736310147578067,,Krkonošská 647,Tanvald,685976,"Billa, s.r.o."
15.362980208875815,50.435259427809449,,Husova 1058,Jičín,685976,"Billa, s.r.o."
15.555544309904903,50.0393392082566,,Sokolovské náměstí 1557,Přelouč,685976,"Billa, s.r.o."
14.60551995968979,49.976883162403084,,67,Modletice,685976,"Billa, s.r.o."
14.492538311503091,48.990806991491077,,,České Budějovice,685976,"Billa, s.r.o."
24.835080909714836,-59.948510465110843,,Na Ohradě 2,Strakonice,685976,"Billa, s.r.o."
17.14893466087501,49.466903824162252,,Háj 358,Kralice na Hané,685976,"Billa, s.r.o."
13.595063026441485,49.74059717859361,,Jiráskova 67,Rokycany,685976,"Billa, s.r.o."
13.914126482209525,49.255704091796694,,Nádražní 1310,Strakonice,685976,"Billa, s.r.o."
15.61036441333448,50.627336227339043,,Krkonošská 16,Vrchlabí,685976,"Billa, s.r.o."
15.138467764141051,50.588533921265366,,Studentská 1651,Turnov,685976,"Billa, s.r.o."
24.835080909714836,-59.948510465110843,,9. května 155,Bohumín,685976,"Billa, s.r.o."
14.081161146522462,50.139068929059491,,Havlíčkova 3084,Kladno,26439352,"Billiard Kladno, s.r.o."
13.608313250267704,50.600672127148265,,Ruská 2121,Litvínov,3362442,Binh An Tran
15.918880598242417,50.355224086296587,,nám. Československé armády 21,Jaroměř,27520927,"Bioobchod.CZ, s.r.o."
15.814568011187514,50.431083477636712,,Švehlova 49,Dvůr Králové nad Labem,27520927,"Bioobchod.CZ, s.r.o."
15.814813664553851,50.444610928843112,,Antonína Wagnera 591,Dvůr Králové nad Labem,27520927,"Bioobchod.CZ, s.r.o."
15.91468872689118,50.560624432468543,,Jihoslovanská 29,Trutnov,27520927,"Bioobchod.CZ, s.r.o."
16.168236015613239,50.416953903529823,,Kamenice 132,Náchod,27520927,"Bioobchod.CZ, s.r.o."
16.158202625248176,50.412510306102433,,Komenského 435,Náchod,28824351,"Birsa, s.r.o."
15.130761928795129,50.590824040371096,KOLONIÁL U ROUBÍČKů,Nádražní 1691,Turnov,16260864,Blahomír Roubíček
13.770414090567128,49.859756038983129,,Masarykovo náměstí 124,Zbiroh,16728203,Blanka Bodišová
15.217651206547016,49.431983066162076,Vchod ze Strachovské ulice,U Rendlíku 1903,Pelhřimov,73502456,Blanka Harudová
16.27940057594888,50.164253932010787,,U Stadionu 1649,Rychnov nad Kněžnou,73582778,Blanka Horáková
16.495044751253875,50.029995042374061,,147,Letohrad,40156613,Blanka Králíková
14.55010031844272,50.755383829456228,,Kpt. Jaroše 402,Nový Bor,60247029,Blanka Kubešová
16.1636987462939,50.178536886227853,,135,Lično,48603287,Blanka Nováková
14.213632734575208,49.201607999543576,,Na Chmelničkách 655,Protivín,41884639,Blanka Novotná
16.465455310856324,50.086132564158923,,Nádražní 537,Žamberk,44463936,Blanka Poláčková
14.464091951602137,50.864753151331385,,22,Chřibská,3267539,Blanka Škopová
13.252126630290782,49.882287710694264,,44,Horní Bělá,13868888,Blažena Vaizová
13.398863426702,50.449952363217186,,Spořická 4344,Chomutov,62740954,"Bobr chomutovský, spol. s r.o., v"
14.358634587096846,49.441173065070352,,Čs.legií 5,Milevsko,26422484,"Bočanová, s.r.o."
17.025588321042946,50.002796124980144,,271,Petrov nad Desnou,45197695,"Boelbo, v.o.s."
17.440745562670138,49.075569726229105,,náměstí Hrdinů 487,Staré Město,10098208,Bohumil Gabrhel
15.594086591152109,50.727438808989504,,121,Špindlerův Mlýn,27484378,"Bohumil Chuchlík, s.r.o."
15.001610333638542,49.47055748876064,,Žižkova 260,Pacov,11323302,Bohumil Veselka
14.960548503684187,49.372416353423048,,Dobešovská 24,Černovice,11323302,Bohumil Veselka
17.758216716886739,49.100316369770383,,Masarykova 159,Luhačovice,12418013,Bohumila Černocká
14.518459426629702,49.174885207738171,,7,Modrá Hůrka,74403141,Bohumila Hrdličková
15.072858908571956,49.237840002299258,,Masarykovo náměstí 21,Nová Včelnice,45034508,Bohumila Prilová
14.341693122161871,50.584273015554103,,Mírové náměstí 20,Úštěk,12793418,Bohuslav Křeček
15.605936230870109,50.6318975197957,,Krkonošská 255,Vrchlabí,28501446,"Bomasa, s.r.o."
15.612729695746955,50.623541567058545,,Krkonošská 138,Vrchlabí,28501446,"Bomasa, s.r.o."
15.039251926227005,50.488370954282104,,U Fary 136,Kněžmost,41034686,"Bonel, s.r.o."
15.610584391114678,49.192558623647251,,1,Sedlatice,13707949,Božena Hrevušová
13.887192941305019,50.372082022077997,,74,Počedělice,46063803,Božena Jonášová
17.940839656726823,49.645597342793309,"Prodej drogistického zboží,dárková služb",Komenského 65,Suchdol nad Odrou,62368516,Božena Lipšajová
14.366721033857548,50.785648522706865,,371,Markvartice,40190757,Božena Novotná
16.081594483428848,49.130057489849975,Smíšené zboží,70,Dalešice,68664362,Božena Veselá
16.035985336336207,49.144826397966035,,116,Valeč,68664362,Božena Veselá
16.114937429753262,50.268250772979265,LAHŮDKY,Kupkovo nám. 136,Opočno,63213834,Božena Vomáčková
15.794565953435583,49.94937508820685,,Havlíčkova 147,Chrudim,46351451,"Brassica,spol.s r.o."
15.819010311219689,48.899597835783503,,Havlíčkovo nábřeží 410,Vranov nad Dyjí,66543452,Bronislav Kirsch
15.77225169248266,50.014639096396081,,Mikulovická 2682,Pardubice,45535370,"Bruno, v.o.s. v likvidaci"
14.914457030155869,49.691611839024816,,Obora 965,Vlašim,48117170,"Budamat, s.r.o."
